,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-07-18,450.5,454.86,450.0484,454.14,454.14,65659006,65659006,3.64,0.80799112,453.02,"July 18, 23",0.0080799112
1,2023-07-17,449.13,451.93,449.08,450.84,450.839996,52338743,46037400,1.71,0.38074,450.46,"July 17, 23",0.0038074
2,2023-07-14,450.475,451.36,448.49,449.28,449.279999,69695823,69761800,-1.195,-0.26528,449.82,"July 14, 23",-0.0026528
3,2023-07-13,447.9,450.38,447.45,449.56,449.559998,71975241,72425200,1.66,0.37062,448.59,"July 13, 23",0.0037062
4,2023-07-12,446.39,447.4799,444.91,446.02,446.019989,91895927,91924500,-0.37,-0.08288716,445.66,"July 12, 23",-0.0008288716
5,2023-07-11,440.45,442.97,439.44,442.46,442.459991,64463752,64463800,2.01,0.45635,441.23,"July 11, 23",0.0045635
6,2023-07-10,438.18,439.84,437.585,439.66,439.660004,62443501,62443500,1.48,0.33776,438.89,"July 10, 23",0.0033776
7,2023-07-07,438.63,442.64,438.3,438.55,438.549988,85434178,86076100,-0.08,-0.01823861,439.93,"July 07, 23",-0.0001823861
8,2023-07-06,439.42,440.1,437.06,439.66,439.660004,80658302,80658300,0.24,0.05461745,439.14,"July 06, 23",0.0005461745
9,2023-07-05,441.91,443.889,441.9,443.13,443.130005,58418432,58418400,1.22,0.27607,443.31,"July 05, 23",0.0027607
10,2023-07-03,442.92,444.08,442.63,443.79,443.790009,32593378,32793400,0.87,0.19642,443.53,"July 03, 23",0.0019642
11,2023-06-30,441.44,444.3,441.11,443.28,443.279999,104964019,104921500,1.84,0.41682,442.74,"June 30, 23",0.0041682
12,2023-06-29,435.96,438.28,435.54,438.11,438.109985,67882304,67882300,2.15,0.49316,437.26,"June 29, 23",0.0049316
13,2023-06-28,435.05,437.44,434.41,436.39,436.390015,75635976,75636000,1.34,0.30801,435.74,"June 28, 23",0.0030801
14,2023-06-27,432.35,436.81,431.88,436.17,436.170013,73064702,72813700,3.82,0.88354,434.72,"June 27, 23",0.0088354
15,2023-06-26,432.62,434.61,431.19,431.44,431.440002,72723560,72823600,-1.18,-0.27276,432.51,"June 26, 23",-0.0027276
16,2023-06-23,432.93,435.06,432.47,433.21,433.209991,91981537,92028700,0.28,0.06467558,433.85,"June 23, 23",0.0006467558
17,2023-06-22,433.95,436.62,433.6,436.51,436.51001,70510175,70637200,2.56,0.58993,435.45,"June 22, 23",0.0058993
18,2023-06-21,436.16,436.99,434.33,434.94,434.940002,76840751,76982300,-1.22,-0.27971,435.56,"June 21, 23",-0.0027971
19,2023-06-20,437.45,438.37,435.03,437.18,437.179993,75935359,76160400,-0.27,-0.06172134,437.15,"June 20, 23",-0.0006172134
20,2023-06-16,443.02,443.6078,438.97,439.46,439.459991,114165849,114121300,-3.56,-0.80358,440.97,"June 16, 23",-0.0080358
21,2023-06-15,436.33,443.9,436.23,442.6,440.962006,110195091,110303100,6.27,1.44,440.71,"June 15, 23",0.0144
22,2023-06-14,437.01,439.0612,433.59,437.18,435.562042,100603680,100612100,0.17,0.03890071,436.73,"June 14, 23",0.0003890071
23,2023-06-13,435.32,437.33,434.63,436.66,435.043976,95847204,95899700,1.34,0.30782,436.0,"June 13, 23",0.0030782
24,2023-06-12,430.92,433.88,430.17,433.8,432.19455,76256703,76104300,2.88,0.66834,431.96,"June 12, 23",0.0066834
25,2023-06-09,429.96,431.99,428.87,429.9,428.30899,85647268,85742800,-0.06,-0.01395479,430.23,"June 09, 23",-0.0001395479
